#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Boone County Search and Rescue Association

",55785520,115 Orendorff Avenue,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55785520,https://www.harrisonhc.com/,DescriptionAgency provides a search and rescue association.,DescriptionAgency provides a search and rescue association.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Harrison Rehabilitation and Health Center

",55734755,115 Orendroff Avenue,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55734755,https://www.harrisonhc.com/,DescriptionAgency provides a rehabilitation center.,DescriptionAgency provides a rehabilitation center.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Harrison Rehabilitation and Health Center

",55785194,105 Hwy 62-65 Bypass,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55785194,https://www.ozarkshareandcare.org/,DescriptionAgency provides a rehabilitation center,DescriptionAgency provides a rehabilitation center,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Ozark Share and Care

",55456602,7751 Highway 7 N,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55456602,https://www.brandnewchurch.com/,DescriptionAgency provides a thrift store.,DescriptionAgency provides a thrift store.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Brand New Church

",56045081,805 Cottonwood Rd,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",56045081,httpss://www.facebook.com/mercy.mall.9/about?lst=100004581461174%3A100001306358362%3A1517587837&section=bio&pnref=about,DescriptionAgency provides a church.,DescriptionAgency provides a church.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Mercy Mall 

",54501549,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54501549,N/A,"DescriptionAgency is a pantry that also helps with hygiene items, shoes, clothes, and household items. ","DescriptionAgency is a pantry that also helps with hygiene items, shoes, clothes, and household items. ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Northwest Regional Housing Authority

",44254654,1510 Rock Springs Road,Harrison ,AR,72602,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",44254654,https://www.aaanwar.org/,"DescriptionAgency provides affordable housing, economic opportunity and a suitable living environment for member of the community.","DescriptionAgency provides affordable housing, economic opportunity and a suitable living environment for member of the community.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Area Agency on Aging of Northwest Arkansas

",35771786,1516 A Rock Springs Rd,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",35771786,N/A,"DescriptionAgency is a non-profit organization serving people 60 years of age and older in Baxter, Benton, Boone, Carroll, Madison, Marion, Newton, Searcy and Washington Counties in Northwest Arkansas. ","DescriptionAgency is a non-profit organization serving people 60 years of age and older in Baxter, Benton, Boone, Carroll, Madison, Marion, Newton, Searcy and Washington Counties in Northwest Arkansas. ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Adult Day Center

",53907654,308 Oak,Bergman ,AR,72615,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",53907654,N/A,"DescriptionAgency provides safe non-medical day center for patients with Dementia, Alzheimer's, or any other disability that would require continued assistance.  ","DescriptionAgency provides safe non-medical day center for patients with Dementia, Alzheimer's, or any other disability that would require continued assistance.  ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bergman Assembly of God

",55456872,1516 Rock Springs Rd,Harrison ,AR,72601,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55456872,https://www.aaanwar.org,DescriptionProgram provides a food pantry,DescriptionProgram provides a food pantry,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Boone County Senior Activity & Wellness Center

",55924263,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924263,httpss://www.pcusa.org/congregations/110/,DescriptionAgency provides a senior center.,DescriptionAgency provides a senior center.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Mountainburg Presbyterian Church

",56000533,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",56000533,httpss://www.arkansasstateparks.com/lakefortsmith/,DescriptionAgency is a church that serves its community.,DescriptionAgency is a church that serves its community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Lake Fort Smith State Park 

",55306258,232 Grand Ave.,Lead Hill ,AR,72644,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55306258,httpss://www.whitepages.com/business/AR/Lead%20Hill/diamond-city-community-center/b-1ajpmh6,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Diamond City Community Center

",55785464,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55785464,https://www.chc-ar.org,DescriptionAgency provides a community center,DescriptionAgency provides a community center,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Boston Mountain Rural Health Center 

",34988988,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988988,https://www.huntsville22.adventistchurchconnect.org/index.php,"DescriptionOffers a wide range of services for insured, uninsured, and underinsured patients. Provides medical care for patients of all ages, from babies to senior citizens. Also offers sliding fee payments and prescription medication assistance programs to help the patients healthcare needs. A doctor is on-call 24 hours a day at the BMRHC office the patient is normally visiting.","DescriptionOffers a wide range of services for insured, uninsured, and underinsured patients. Provides medical care for patients of all ages, from babies to senior citizens. Also offers sliding fee payments and prescription medication assistance programs to help the patients healthcare needs. A doctor is on-call 24 hours a day at the BMRHC office the patient is normally visiting.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Huntsville Seventh Day Adventist Church

",41034155,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",41034155,https://www.huntsvillear.org/depts/fire.php,DescriptionAgency is a church that provides services for the community.,DescriptionAgency is a church that provides services for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Huntsville Fire Department 

",34988654,22100 Old Hwy 65,Omaha ,AR,72662,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988654,https://www.tetelestaihouse.org,DescriptionGovernment/County/Municipal,DescriptionGovernment/County/Municipal,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Tetelestai House

",54156456,214 Carter Street,Berryville ,AR, 72616 Carroll,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54156456,https://www.mercy.net%20,DescriptionAgency is a restoration facility for women coming out of incarceration. Agency provides a safe and drug free environment for women to begin again. ,DescriptionAgency is a restoration facility for women coming out of incarceration. Agency provides a safe and drug free environment for women to begin again. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Berryville Mercy Hospital

",34988821,109 West Church Avenue,Berryville ,AR, 72616 Carroll,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988821,https://www.thepurpleflower.org,DescriptionClinic/Hospital/Health Services,DescriptionClinic/Hospital/Health Services,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," The Purple Flower

",61000776,1330 Highway 62 West,Berryville  ,AR, 72616 Carroll,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",61000776,https://www.berryville23.adventistchurchconnect.org,"DescriptionAgency provides a domestic violence and sexual assault services in Carroll County, Arkansas.","DescriptionAgency provides a domestic violence and sexual assault services in Carroll County, Arkansas.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Berryville Seventh Day Adventist Church

",41033992,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",41033992,https://www.7hillscenter.org,DescriptionAgency is a church that provides services for the community.,DescriptionAgency is a church that provides services for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," 7Hills Homeless Center

",34988970,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988970,https://www.centraltolife.com,DescriptionDay Shelter,DescriptionDay Shelter,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Central United Methodist Church - Fayetteville

",34988861,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988861,https://www.accessfayetteville.org,DescriptionAgency is a church that provides assistance for the community.,DescriptionAgency is a church that provides assistance for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Fayetteville Recycling Center

",34988934,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988934,N/A,DescriptionRecycling Center,DescriptionRecycling Center,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Washington County Constable

",34988777,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988777,https://www.southhillcoc.org,DescriptionLaw Enforcement,DescriptionLaw Enforcement,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," South Hills Church of Christ of Fayetteville

",34988357,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988357,https://www.sonorabaptistchurch.org,DescriptionAgency is a church that provides services to the community.,DescriptionAgency is a church that provides services to the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Sonora Baptist Church 

",41034200,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",41034200,https://www.fayettevillear.va.gov,DescriptionAgency is a church that provides services for the community.,DescriptionAgency is a church that provides services for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Veterans Healthcare of The Ozarks

",34988365,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988365,https://www.uark.edu,DescriptionClinic/Hospital/Health Services,DescriptionClinic/Hospital/Health Services,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," University of Arkansas at Fayetteville

",34988497,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988497,https://campkesem.org,DescriptionSchool/Education,DescriptionSchool/Education,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Camp Kesem at University of Arkansas

",54028867,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",54028867,https://www.nwacenterforautism.com/,"DescriptionAgency is a nationwide community, driven by passionate college student leaders, that supports children through and beyond their parent’s cancer.","DescriptionAgency is a nationwide community, driven by passionate college student leaders, that supports children through and beyond their parent’s cancer.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," NWA Center for Autism and Developmental Disabilities

",34988818,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988818,N/A,"Description Offers intensive services for children with developmental disabilities, autism, ADHD, learning disabilities, brain injury, and behavior disorders. At this time Medicaid (TEFRA) does not cover our services. We do accept various insurance for students who qualify. Students individualized needs are met in classroom based services or 1:1 services depending on the needs of the learner. We provide services year round M-F. Our hours of operation are from 8-2:00 for students, 8-4 for staff. Please call for details regarding tuition and to set up a tour of our program. We also offer tutoring services after school hours during the school year for students needing tutoring in reading fluency and/or basic math.","Description Offers intensive services for children with developmental disabilities, autism, ADHD, learning disabilities, brain injury, and behavior disorders. At this time Medicaid (TEFRA) does not cover our services. We do accept various insurance for students who qualify. Students individualized needs are met in classroom based services or 1:1 services depending on the needs of the learner. We provide services year round M-F. Our hours of operation are from 8-2:00 for students, 8-4 for staff. Please call for details regarding tuition and to set up a tour of our program. We also offer tutoring services after school hours during the school year for students needing tutoring in reading fluency and/or basic math.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Ozark Literacy Council

",34988207,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988207,https://www.youthbridge.com,DescriptionAgency provides a variety of educational programs for the community.,DescriptionAgency provides a variety of educational programs for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Youth Bridge, Inc.

",34988375,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988375,https://www.biolifeplasma.com/blpsoffers/blpsfayettevilleoffer.html,DescriptionAgency seeks to change the lives of children by providing: Preventative services Counseling Shelter to strengthen families and build stronger communities. ,DescriptionAgency seeks to change the lives of children by providing: Preventative services Counseling Shelter to strengthen families and build stronger communities. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Fayetteville Bio Life Plasma Services 

",34988854,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988854,https://www.uaex.edu/washington/,DescriptionDonation of plasma for financial compensation. Plasma is the yellow fluid found in blood. Plasma can be used for a wide variety of medical and therapeutic services. ,DescriptionDonation of plasma for financial compensation. Plasma is the yellow fluid found in blood. Plasma can be used for a wide variety of medical and therapeutic services. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," 4-H Club of Washington County

",34988369,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988369,https://www.wheelerfiredept.org,"DescriptionA member of the University of Arkansas Cooperative Extension Service’s statewide network and the University of Arkansas System’s Division of Agriculture.  Our mission is to provide research-based information through non-formal education to help all Arkansans improve their economic well-being and the quality of lives.  Whether it is agriculture, 4-H, health and living, or community development, the Washington County Extension Office is at your service!","DescriptionA member of the University of Arkansas Cooperative Extension Service’s statewide network and the University of Arkansas System’s Division of Agriculture.  Our mission is to provide research-based information through non-formal education to help all Arkansans improve their economic well-being and the quality of lives.  Whether it is agriculture, 4-H, health and living, or community development, the Washington County Extension Office is at your service!",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Wheeler Fire Department 

",34988649,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988649,https://www.arsinfo.org,DescriptionGovernment/County/Municipal,DescriptionGovernment/County/Municipal,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Arkansas Rehabilitation Services

",34988418,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988418,https://www.soldieronservicedogs.org/,"Description Prepares Arkansans with disabilities to work and lead productive and independent lives, Arkansas Rehabilitation Services (ARS) provides a variety of training and career preparation programs. Services include career and technical education and training, transition from school to work or postsecondary education, on-the-job training, and ancillary support services that clients may need for successful employment.","Description Prepares Arkansans with disabilities to work and lead productive and independent lives, Arkansas Rehabilitation Services (ARS) provides a variety of training and career preparation programs. Services include career and technical education and training, transition from school to work or postsecondary education, on-the-job training, and ancillary support services that clients may need for successful employment.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Soldier on Service Dogs

",36025658,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",36025658,https://www.ercinc.org,DescriptionProvides trained service dogs to veterans free of charge.,DescriptionProvides trained service dogs to veterans free of charge.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Elizabeth Richardson Center

",34988455,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988455,N/A,"Description Operates a total of five Child Development Centers in Farmington, Fayetteville, Huntsville, Springdale, and Siloam Springs that serve the needs of children six weeks to five years of age with developmental delays or disabilities. The center provides full-day developmental programs, including speech, physical and occupational therapies. An on-site nurse is available for children with special medical needs.    For adults with disabilities are provided community employment, residential options, life skills classes, job skills training, recreations actives and community involvement. 	 ","Description Operates a total of five Child Development Centers in Farmington, Fayetteville, Huntsville, Springdale, and Siloam Springs that serve the needs of children six weeks to five years of age with developmental delays or disabilities. The center provides full-day developmental programs, including speech, physical and occupational therapies. An on-site nurse is available for children with special medical needs.    For adults with disabilities are provided community employment, residential options, life skills classes, job skills training, recreations actives and community involvement. 	 ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Encounter 

",40766379,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",40766379,https://www.pineypointchurch.com/,DescriptionAgency provides a food pantry program.,DescriptionAgency provides a food pantry program.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Piney Point Baptist Church

",34988868,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988868,https://www.bethany.org,DescriptionAgency is a church that provides services to its community.,DescriptionAgency is a church that provides services to its community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Bethany Christian Services

",43200209,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",43200209,https://www.arkansasstart.org,DescriptionAgency provides free pregnancy counseling services.,DescriptionAgency provides free pregnancy counseling services.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," ArkSTART

",53241974,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",53241974,https://www.cancerchallenge.com,DescriptionGeneral consultation & referral assistance.,DescriptionGeneral consultation & referral assistance.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Cancer Challenge

",34988914,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988914,https://www.springdalefirstspanish22.adventistchurchconnect.org,DescriptionA non-profit organization local to Northwest Arkansas that raises money for cancer resources. Our organization is proud to be 100% local in our giving efforts. We only award funds to organizations serving residents of Northwest Arkansas. ,DescriptionA non-profit organization local to Northwest Arkansas that raises money for cancer resources. Our organization is proud to be 100% local in our giving efforts. We only award funds to organizations serving residents of Northwest Arkansas. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Springdale First Spanish Seventh Day Adventist Church

",41034169,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",41034169,N/A,DescriptionAgency is a church that provides services for the community.,DescriptionAgency is a church that provides services for the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Marshallese United Church of Christ - Thompson

",44865277,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",44865277,https://www.nwacircleoflife.com,DescriptionAgency is a church providing services to the community.,DescriptionAgency is a church providing services to the community.,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Circle of Life Hospice

",34988925,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988925,https://www.compassionhouse.us,"DescriptionProvides compassionate end-of-life care for a person's mind, body, spirit and family when there is no longer a cure. ","DescriptionProvides compassionate end-of-life care for a person's mind, body, spirit and family when there is no longer a cure. ",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Compassion House

",34988510,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988510,https://www.endeavorfoundation.net,DescriptionResidential/HousingThe Compassion House mission is to help change and give positive direction to the lives of pregnant teens who are challenged with an unexpected pregnancy by addressing the following areas:   A safe family   Complete pregnancy and child care   Counseling   Breaking unhealthy past patterns   Life skills training   Independent living skills training and experiences   Spiritual growth   Educational and Vocational needs   Local resource families,DescriptionResidential/HousingThe Compassion House mission is to help change and give positive direction to the lives of pregnant teens who are challenged with an unexpected pregnancy by addressing the following areas:   A safe family   Complete pregnancy and child care   Counseling   Breaking unhealthy past patterns   Life skills training   Independent living skills training and experiences   Spiritual growth   Educational and Vocational needs   Local resource families,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Endeavor  Foundation

",34988255,N/A,N/A,N/A,N/A,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",34988255,N/A,"DescriptionGrantmaking organization governed by a Board of respected business, civic, and community leaders who live and work in Northwest Arkansas. We are dedicated to strengthening the quality of life for the hundreds of thousands of people who call Northwest Arkansas home.","DescriptionGrantmaking organization governed by a Board of respected business, civic, and community leaders who live and work in Northwest Arkansas. We are dedicated to strengthening the quality of life for the hundreds of thousands of people who call Northwest Arkansas home.",N/A,N/A
