#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email,Short Code
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Goodwill Industries, Dover",(302) 674-9071,311 Newark Shopping Center,Newark,DE,19711,"Clothing ,Emergency Assistance, Community Resource",(302) 674-9071,https://www.goodwillde.org,"Provides employment and related services for disabled & disadvantaged individuals.Â  Offers work adjustment, retail skills training, on-the-job training, job-seeking skills, janitorial training and job placement assistance.Â  Also is a retail store and donation center for used clothing, household goods and furniture.Additional retail location: Gateway West Shopping Center, Rt. 8 & Salisbury Road, Dover, DE 19904, (302) 678-4602.","Provides employment and related services for disabled & disadvantaged individuals.Â  Offers work adjustment, retail skills training, on-the-job training, job-seeking skills, janitorial training and job placement assistance.Â  Also is a retail store and donation center for used clothing, household goods and furniture.Additional retail location: Gateway West Shopping Center, Rt. 8 & Salisbury Road, Dover, DE 19904, (302) 678-4602.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Goodwill Industries, Newark",(302) 283-1234,900 Washington Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(302) 453-1430,https://www.gracechurchum.org,"To assist people who have disabilities or who are disadvantaged to obtain employment.Â  We provide programs and services such as vocational evaluations/situational assessment, office skills training, retail skills training, janitorial skills training, janitorial crew chief training, job readiness training, on-site training/job coaching, work adjustment training, job development/placement/follow-up and transitional employment.Goodwill operates the following retail stores for the sale of used goods:Â Â Â Â  627 North Market Street, Wilmington DE 19801Â Â Â Â  Fox Run Shopping Center, 334 Fox Hunt Drive, Bear DE 19701Â Â Â Â  2701 Philadelphia Pike, Claymont DE 19703Â Â Â Â  Gordy Plaza Shopping Center, 4317 Kirkwood Highway, Wilmington DE 19805Â Â Â Â  Middletown Square, 801 North Broad Street, Middletown, DE 19709Â Â Â Â  Gateway West Shopping Center, Forrest Avenue, Dover DE 19904Â Â Â Â  Rodney Village Shopping Center, Governors Avenue, Dover DE 19901Â Â Â Â  Route 202 North, Chadds Ford PA 19317Â Â Â Â  MacDade Plaza Shopping Center, 2137 MacDade Boulevard, Holmes PA 19043Â Â Â Â  Swarthmorewood Shopping Center, 725 South Center Road, Swarthmore PA 19081The following locations accept donations only:Â Â Â Â  7270 Lancaster Pike, Hockessin DE 19707Â Â Â Â  The Goodwill Center, 300 East Lea Boulevard, Wilmington DE 19802","To assist people who have disabilities or who are disadvantaged to obtain employment.Â  We provide programs and services such as vocational evaluations/situational assessment, office skills training, retail skills training, janitorial skills training, janitorial crew chief training, job readiness training, on-site training/job coaching, work adjustment training, job development/placement/follow-up and transitional employment.Goodwill operates the following retail stores for the sale of used goods:Â Â Â Â  627 North Market Street, Wilmington DE 19801Â Â Â Â  Fox Run Shopping Center, 334 Fox Hunt Drive, Bear DE 19701Â Â Â Â  2701 Philadelphia Pike, Claymont DE 19703Â Â Â Â  Gordy Plaza Shopping Center, 4317 Kirkwood Highway, Wilmington DE 19805Â Â Â Â  Middletown Square, 801 North Broad Street, Middletown, DE 19709Â Â Â Â  Gateway West Shopping Center, Forrest Avenue, Dover DE 19904Â Â Â Â  Rodney Village Shopping Center, Governors Avenue, Dover DE 19901Â Â Â Â  Route 202 North, Chadds Ford PA 19317Â Â Â Â  MacDade Plaza Shopping Center, 2137 MacDade Boulevard, Holmes PA 19043Â Â Â Â  Swarthmorewood Shopping Center, 725 South Center Road, Swarthmore PA 19081The following locations accept donations only:Â Â Â Â  7270 Lancaster Pike, Hockessin DE 19707Â Â Â Â  The Goodwill Center, 300 East Lea Boulevard, Wilmington DE 19802",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Grace United Methodist Church,(302) 655-8874,1801 North Jefferson Street,Wilmington,DE,19802,"Clothing ,Emergency Assistance, Community Resource",(302) 655-8847,https://www.hanoverchurch.org,"**TUESDAY AFTERNOON ONLY** Referrals to area food closets; clothing orders filled, referrals to area shelters for emergency housing. (No assistance with rent and/or utilities).","**TUESDAY AFTERNOON ONLY** Referrals to area food closets; clothing orders filled, referrals to area shelters for emergency housing. (No assistance with rent and/or utilities).",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Hanover Presbyterian Church, Clothing Closet",N/A,7250 Lancaster Pike,Hockessin,DE,19707,"Clothing ,Emergency Assistance, Community Resource",(302) 658-5115,https://www.hockessinumc.org,The Hanover Clothing Closet is run in partnership with Adopt-A-Family. The clothing is free and shoppers can come once every two weeks. There are limits on the number of clothing items a person can have per shopping trip. Please Note: There can sometimes be a 20 to 30 minute wait to shop depending on the amount of people visiting the closet.,The Hanover Clothing Closet is run in partnership with Adopt-A-Family. The clothing is free and shoppers can come once every two weeks. There are limits on the number of clothing items a person can have per shopping trip. Please Note: There can sometimes be a 20 to 30 minute wait to shop depending on the amount of people visiting the closet.,N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Hockessin United Methodist Church Clothing Closet,(302) 239-3036,501 Ogletown Road,Newark,DE,19711,"Clothing ,Emergency Assistance, Community Resource",(302) 239-3030,https://www.delaware.gov,"Serves Hockessin and the greater Wilmington area. Provides clothing and household items (NO FURNITURE) to low and no-income individuals whose income is less than $25,000/year. Clients may come once a month and fill one bag per family.Referrals from agencies and /or for people burned out, locked out and in emergency situations also accepted.","Serves Hockessin and the greater Wilmington area. Provides clothing and household items (NO FURNITURE) to low and no-income individuals whose income is less than $25,000/year. Clients may come once a month and fill one bag per family.Referrals from agencies and /or for people burned out, locked out and in emergency situations also accepted.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Hudson State Service Center,(302) 283-7595,N/A,N/A,N/A,N/A,"Clothing ,Emergency Assistance, Community Resource",(302) 283-7500,N/A,"Houses various state and private human service providers including Public Health, Stand by Me,Â NCALL Research, Social Services andÂ Family Visitation Center. State Service Center services include: Community Resource Assistance Services, holiday food baskets, emergency financial assistance and emergency food assistance. Furnace Replacement and Repair Program (Screens Newark area residents for food and financial assistance programs that are funded by Newark Area Welfare Committee and local churches.)","Houses various state and private human service providers including Public Health, Stand by Me,Â NCALL Research, Social Services andÂ Family Visitation Center. State Service Center services include: Community Resource Assistance Services, holiday food baskets, emergency financial assistance and emergency food assistance. Furnace Replacement and Repair Program (Screens Newark area residents for food and financial assistance programs that are funded by Newark Area Welfare Committee and local churches.)",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Kingswood Community Center, Clothes Closet",(302) 407-6843,Latin American Community Center,Wilmington,DE,19805,"Clothing ,Emergency Assistance, Community Resource",(302) 764-9022,https://www.thelatincenter.org,"Clothing Closet for Northeast Wilmington residents and surrounding communities to enable them to achieve their potential for economic, social and personal well-being.","Clothing Closet for Northeast Wilmington residents and surrounding communities to enable them to achieve their potential for economic, social and personal well-being.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","LACC, Family Support Services",(302) 655-7334,31039 North Poplar Street,Laurel,DE,19956,"Clothing ,Emergency Assistance, Community Resource",(302) 655-7338,N/A,"Family Support Services is a multi-service department. Programs include short term case management, First State Community Action self-sufficiency program, Families in Control domestic violence prevention and treatment, Ninos Bien Educados parent education program, Nuevos Caminos anger management group, Emergency food pantry and clothing closet, intervention of low risk child abuse cases, as well as a Breast Feeding Support Group and breast cancer prevention outreach. Notary public available.","Family Support Services is a multi-service department. Programs include short term case management, First State Community Action self-sufficiency program, Families in Control domestic violence prevention and treatment, Ninos Bien Educados parent education program, Nuevos Caminos anger management group, Emergency food pantry and clothing closet, intervention of low risk child abuse cases, as well as a Breast Feeding Support Group and breast cancer prevention outreach. Notary public available.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Laurel State Service Center,302-875-1483,No Physical Site location for Community,Bear,DE,19701,"Clothing ,Emergency Assistance, Community Resource",302-875-8402,https://www.loveincde.org,"Houses various state and private human service providers including Youth Rehabilitation services, Public Health, Social Services and Vocational Rehabilitation. Services provided by the State Service Center include: Toys for Tots, Community Resource Assistance Services, emergency food closet, FEMA and the RAP (rent deposit program)","Houses various state and private human service providers including Youth Rehabilitation services, Public Health, Social Services and Vocational Rehabilitation. Services provided by the State Service Center include: Toys for Tots, Community Resource Assistance Services, emergency food closet, FEMA and the RAP (rent deposit program)",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Love in the Name of Christ,(302) 221-5683,2809 Baynard Blvd,Wilmington,DE,19802,"Clothing ,Emergency Assistance, Community Resource",(302) 221-5683,https://www.lcsde.org," Love INC (In the Name of Christ) is an organization made up of local church volunteers to help people in need. *No Financial Assistance*  Volunteers provide communication, companionship, free budget ministry program,Â layette ministry, clothing, food, transportation and visitation to the home bound.Â  The following services are available to the elderly/disabled: house cleaning, snow shoveling, summer lawn cutting, moving heavy items and minor home repair.Â  Non-emergency food may be available (comprehensive intake procedure and referral to a church).Â  Donations Love INC accepts donated used furniture, household items for needy clients. These donations must be in good condition.Â  Arrangements for furniture pick-ups can be made.Â  However, some household items are no longer accepted (e.g. formal dining room sets, 36"" or larger TVs, etc.). Please call for more detail.Â  Volunteers fromÂ church will arrange FREE pick up/delivery of donations. (tax receipt available)  Those in need of used furniture and household items must have a social worker or case manager call with a referral."," Love INC (In the Name of Christ) is an organization made up of local church volunteers to help people in need. *No Financial Assistance*  Volunteers provide communication, companionship, free budget ministry program,Â layette ministry, clothing, food, transportation and visitation to the home bound.Â  The following services are available to the elderly/disabled: house cleaning, snow shoveling, summer lawn cutting, moving heavy items and minor home repair.Â  Non-emergency food may be available (comprehensive intake procedure and referral to a church).Â  Donations Love INC accepts donated used furniture, household items for needy clients. These donations must be in good condition.Â  Arrangements for furniture pick-ups can be made.Â  However, some household items are no longer accepted (e.g. formal dining room sets, 36"" or larger TVs, etc.). Please call for more detail.Â  Volunteers fromÂ church will arrange FREE pick up/delivery of donations. (tax receipt available)  Those in need of used furniture and household items must have a social worker or case manager call with a referral.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Lutheran Community Services-Social Service Program,(302) 654-7460,105 NE Front Street,Milford,DE,19963,"Clothing ,Emergency Assistance, Community Resource",(302) 654-8886,https://www.milfordmccommunitycenter.com," Provides the following services:   Food Pantries- emergency food is distributed through locations in three churches. A three-day or extended supply can be provided with referral from social service worker.   Mobile Pantries which meet once a month   Monthly grocery distribution based on income qualification; membership required. (grocery clubs)   Produce: free distribution weekly, bi monthly or monthly depending upon site.Â    Clothing: free distribution monthly at 3 different locations.Â "," Provides the following services:   Food Pantries- emergency food is distributed through locations in three churches. A three-day or extended supply can be provided with referral from social service worker.   Mobile Pantries which meet once a month   Monthly grocery distribution based on income qualification; membership required. (grocery clubs)   Produce: free distribution weekly, bi monthly or monthly depending upon site.Â    Clothing: free distribution monthly at 3 different locations.Â ",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Milford Community Center,302-725-0603,13 Southwest Front Street,Milford,DE,19963,"Clothing ,Emergency Assistance, Community Resource",N/A,N/A,"Full Service youth and family community center offering Â emergency food, clothing, diapers, afterschool, youth programs, tutoring, ESAÂ and GED","Full Service youth and family community center offering Â emergency food, clothing, diapers, afterschool, youth programs, tutoring, ESAÂ and GED",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Milford State Service Center,(302) 424-5311,1410 North Claymont Street,Wilmington,DE,19802,"Clothing ,Emergency Assistance, Community Resource",(302) 424-7230,https://www.ministryofcaring.org,"Houses various state and private human service providers including Division of Public Health (specialized clinics), Division of Social Services, TASC, Division of Services for Aging and Disabled Adults, Division of Family Services, Division for the Visually Impaired,Â Victim Services Program,Â Division of Youth Rehabilitation Services, Division of Child Mental Health, Welfare Fraud Unit, Medicaid Program and Child Development WATCH program. State Service Center services include: emergency assistance, child dental transporation, holiday baskets, Toys for Tots and RAP (rent deposit program). Emergency Food Available at 13 Southwest Front Street: walk-ins only Monday- Friday 9am - 4pm.","Houses various state and private human service providers including Division of Public Health (specialized clinics), Division of Social Services, TASC, Division of Services for Aging and Disabled Adults, Division of Family Services, Division for the Visually Impaired,Â Victim Services Program,Â Division of Youth Rehabilitation Services, Division of Child Mental Health, Welfare Fraud Unit, Medicaid Program and Child Development WATCH program. State Service Center services include: emergency assistance, child dental transporation, holiday baskets, Toys for Tots and RAP (rent deposit program). Emergency Food Available at 13 Southwest Front Street: walk-ins only Monday- Friday 9am - 4pm.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Ministry of Caring, Distribution Center",(302) 594-9478,1410 North Claymont Street,Wilmington,DE,19802,"Clothing ,Emergency Assistance, Community Resource",(302) 652-0969,N/A,"Distributes clothing, furniture and home furnishings to the poor. The furniture and home furnishings are for those leaving shelters to establish their own homes.","Distributes clothing, furniture and home furnishings to the poor. The furniture and home furnishings are for those leaving shelters to establish their own homes.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Ministry of Caring, Samaritan Outreach",(302) 594-9478,1401 A Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(302) 594-9476,https://www.iamthevillage.org," Samaritan Outreach provides intensive case management services and referrals that help stabilize the lives of people recently released from prison, those who are in need, homeless, or at risk of becoming homeless. Samaritan helps with food via vouchers, clothes, shower facilities, hygiene items, furniture and household goods. We also provide counseling for substance abuse and mental health, we give them guidance and support in entering shelters or residential programs, and enrolling in job placement programs as well as obtaining benefits from government funding, medical treatment, dental assistance and when necessary we refer clients to supportive services from the community."," Samaritan Outreach provides intensive case management services and referrals that help stabilize the lives of people recently released from prison, those who are in need, homeless, or at risk of becoming homeless. Samaritan helps with food via vouchers, clothes, shower facilities, hygiene items, furniture and household goods. We also provide counseling for substance abuse and mental health, we give them guidance and support in entering shelters or residential programs, and enrolling in job placement programs as well as obtaining benefits from government funding, medical treatment, dental assistance and when necessary we refer clients to supportive services from the community.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",One Village Alliance,877-847-5599,509 West 8th Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(855) 968-8433,https://www.state.de.us/dhss/dssc/porter.htm,Suited for Success Professional Attire Program is open to Men Only.,Suited for Success Professional Attire Program is open to Men Only.,N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Porter State Service Center,302-777-2801,811 South Governors Avenue,Dover,DE,19904,"Clothing ,Emergency Assistance, Community Resource",302-777-2800 ext 1,https://www.kentcountyphc.org,"Houses several state and private human service providers including Public Health Clinics, STD counseling & testing and Social Services. State Service Center services include: Community Resource Assistance Services, Toys for Tots, holiday baskets, emergency assistance.Â  Porter State Service Center has food in stock for those in need of emergency food and provides referrals to area food closets. (Furnace Replacement & Repair Program)","Houses several state and private human service providers including Public Health Clinics, STD counseling & testing and Social Services. State Service Center services include: Community Resource Assistance Services, Toys for Tots, holiday baskets, emergency assistance.Â  Porter State Service Center has food in stock for those in need of emergency food and provides referrals to area food closets. (Furnace Replacement & Repair Program)",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Pregnancy Help Center of Kent County,(302) 672-0285,3114 North Market Street,Wilmington,DE,19802,"Clothing ,Emergency Assistance, Community Resource",(302) 264-9087,N/A,"Provides the following services:ÃÂ  pregnancy tests; initial medical exam for confirmation of pregnancy; information on alternatives; assistance to pregnant women in need including maternity and baby clothing, baby furniture; education in fetal development, childbirth and nutrition; referrals for financial, medical, legal, adoption; and professional counseling.Speakers and a library of books, slides, video and film are also available to interested groups or individuals. ","Provides the following services:ÃÂ  pregnancy tests; initial medical exam for confirmation of pregnancy; information on alternatives; assistance to pregnant women in need including maternity and baby clothing, baby furniture; education in fetal development, childbirth and nutrition; referrals for financial, medical, legal, adoption; and professional counseling.Speakers and a library of books, slides, video and film are also available to interested groups or individuals. ",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Prison Fellowship Ministries,302-764-9183,34314 Pyle Center Road,Frankford,DE,19945,"Clothing ,Emergency Assistance, Community Resource",302-388-7114,https://www.state.de.us/dhss/dssc/pyle.htm,"  Prison Fellowship Ministries actively work with those in prison, Work Release Centers and on probation. Ex-offenders are encouraged to connect with our reentry program. Prison Fellowship Ministries offers the following programs: The Angel Program and Year-round Children Youth & Family Ministry,ÃÂ In-Prison Seminars, Pen Pals, Bible Studies, Mentoring and Aftercare Support Group known as Operation Rescue. Operation Rescue meets the last Monday in each month at 7pm at St. Paul UAME Church Annex located at 101 E. 34th Wilmington, DE 19802.   ","  Prison Fellowship Ministries actively work with those in prison, Work Release Centers and on probation. Ex-offenders are encouraged to connect with our reentry program. Prison Fellowship Ministries offers the following programs: The Angel Program and Year-round Children Youth & Family Ministry,ÃÂ In-Prison Seminars, Pen Pals, Bible Studies, Mentoring and Aftercare Support Group known as Operation Rescue. Operation Rescue meets the last Monday in each month at 7pm at St. Paul UAME Church Annex located at 101 E. 34th Wilmington, DE 19802.   ",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Pyle State Service Center,302-732-9514,Richardson Park Community Action,Wilmington,DE,19804,"Clothing ,Emergency Assistance, Community Resource",302-732-1700,https://rpcap.net,"Houses various state and non-profit human service agencies/organizations. Service providers include: social services, public health clinics, family services, Cheer, and Child Development. Pyle State Service Center offers the following services to the community: child dental, holiday programs, Nemours, Community Resource Assistance and food closet (emergency only) Furnace Replacement and Repair Program.","Houses various state and non-profit human service agencies/organizations. Service providers include: social services, public health clinics, family services, Cheer, and Child Development. Pyle State Service Center offers the following services to the community: child dental, holiday programs, Nemours, Community Resource Assistance and food closet (emergency only) Furnace Replacement and Repair Program.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Richardson Park Community Action, Thrift Store",302-429-1872,500 West 2nd Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(302) 428-1247,https://www.rickvanstorycenters.org,"Thrift store-sells used clothing for all ages, men, woman, children and infants.Â Â Also smallÂ housewares itemsÂ at very low prices.","Thrift store-sells used clothing for all ages, men, woman, children and infants.Â Â Also smallÂ housewares itemsÂ at very low prices.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Rick VanStory Resource Centers,302-691-7950,107 East 14Th Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(302) 691-7946,https://www.saintpatrickcenter.org,"Rick VanStory Resource Center (RVRC) was founded by former mental health consumers who recognized the urgent need for a recovery-oriented, peer-led drop in center for people with psychiatric disabilities.Â  RVRC empowers individuals to access the resource and services they need to build an independent, satisfying life in the community through the support of their peers in an environment that is free of stigma.Â Recovery maintenance support, computer lab and library, Hospital Visitation Program.Â Â Clothing and Food Pantry.Â  Housing and Employment Skills Assistance.Â  Prehospital discharge planning.Â  Accompaniment to Mental Health Court and other appointments.Â  A warmline 24/7 response capability.Â  Peer SupportTransportation - PATH Outreach Program helps to transport people who are physically homeless to RVRC.Â ","Rick VanStory Resource Center (RVRC) was founded by former mental health consumers who recognized the urgent need for a recovery-oriented, peer-led drop in center for people with psychiatric disabilities.Â  RVRC empowers individuals to access the resource and services they need to build an independent, satisfying life in the community through the support of their peers in an environment that is free of stigma.Â Recovery maintenance support, computer lab and library, Hospital Visitation Program.Â Â Clothing and Food Pantry.Â  Housing and Employment Skills Assistance.Â  Prehospital discharge planning.Â  Accompaniment to Mental Health Court and other appointments.Â  A warmline 24/7 response capability.Â  Peer SupportTransportation - PATH Outreach Program helps to transport people who are physically homeless to RVRC.Â ",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Saint Patrick's Center, Clothing Closet",(302) 656-3680,22318 Sussex Highway,Seaford,DE,19973,"Clothing ,Emergency Assistance, Community Resource",(302) 652-6219,https://www.salvationarmydelaware.org,St. Patrick's Center Clothing Closet distributes free clothing to needy families and individuals.  Donations welcomed.,St. Patrick's Center Clothing Closet distributes free clothing to needy families and individuals.  Donations welcomed.,N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Salvation Army, Sussex",(302) 628-3815,107 South Market Street,Wilmington,DE,19801,"Clothing ,Emergency Assistance, Community Resource",(302) 628-2020,https://www.salvationarmydelaware.org,"Salvation Army provides crisis counseling and financial assistance including food, rental assistance, utility assistance, and referrals for clothing and temporary housing (motel placement). Â Salvation Army participates in ""Operation Share"" in conjunction with the Delaware Electric Cooperative. Operation Share offers electric bill assistance for Delaware residents who have received disconnection notice. Every effort is made to work cooperatively with referring agencies.","Salvation Army provides crisis counseling and financial assistance including food, rental assistance, utility assistance, and referrals for clothing and temporary housing (motel placement). Â Salvation Army participates in ""Operation Share"" in conjunction with the Delaware Electric Cooperative. Operation Share offers electric bill assistance for Delaware residents who have received disconnection notice. Every effort is made to work cooperatively with referring agencies.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource","Salvation Army, Thrift Stores",(302) 654-8808-ext-123,350 Virginia Avenue,Seaford,DE,19973,"Clothing ,Emergency Assistance, Community Resource",(302) 654-8808-ext-123,https://www.state.de.us/dhss/dssc/shipley.htm,"Salvation Army operates thrift stores throughout the state under the Adult Rehabilitation Center programs.Â Retail stores sell donated goods of clothing, appliances, furniture, toys, baby furnishings and household items.Location of Smyrna thrift store is: 16 Mount Vernon St. Smyrna","Salvation Army operates thrift stores throughout the state under the Adult Rehabilitation Center programs.Â Retail stores sell donated goods of clothing, appliances, furniture, toys, baby furnishings and household items.Location of Smyrna thrift store is: 16 Mount Vernon St. Smyrna",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Shipley State Service Center,(302) 628-6701,N/A,N/A,N/A,N/A,"Clothing ,Emergency Assistance, Community Resource",(302) 628-6700,https://www.shoesthatfit.org,"Houses various state and private human service providers including Public Health Clinics, social services, Div of Family Services, People's Place II & Parole. State Service Center services include: Community Resource Assistance, emergency assistance, holiday baskets, Toys for Tots & RAP (rent deposit program) Furnace Replacement and Repair Program.","Houses various state and private human service providers including Public Health Clinics, social services, Div of Family Services, People's Place II & Parole. State Service Center services include: Community Resource Assistance, emergency assistance, holiday baskets, Toys for Tots & RAP (rent deposit program) Furnace Replacement and Repair Program.",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Shoes That Fit of Newark Delaware,Check School District,200 South DuPont Blvd,Smyrna,DE,19977,"Clothing ,Emergency Assistance, Community Resource",Check School District,https://www.dhss.delaware.gov/dhss/main/maps/dsscmap/smyrna.html,"Shoes That Fit of Newark Delaware is the local chapter of the National organization of Shoes That Fit.Â  They are a children's non-profit organization whose mission is to help build the self-esteem of school children in need by providing them with new shoes and clothing, enabling them to attend school in comfort and with dignity.The programs that they sponsor are:Â  Â Â Â Â Â Â Â Â Â Â Â Â Onsite Clothing Closet ProgramÂ Â Â Â Â Â Â Â Â Â Â Â Â School Uniform Scholarship ProgramÂ Â Â Â Â Â Â Â Â Â Â Â Winter ClothingÂ Scholarship ProgramÂ Â Â Â Â Â Â Â Â Â Â Â  Adopt a Child Clothing Sponsorship Program (supportingÂ various public and parochial schools - view list online)","Shoes That Fit of Newark Delaware is the local chapter of the National organization of Shoes That Fit.Â  They are a children's non-profit organization whose mission is to help build the self-esteem of school children in need by providing them with new shoes and clothing, enabling them to attend school in comfort and with dignity.The programs that they sponsor are:Â  Â Â Â Â Â Â Â Â Â Â Â Â Onsite Clothing Closet ProgramÂ Â Â Â Â Â Â Â Â Â Â Â Â School Uniform Scholarship ProgramÂ Â Â Â Â Â Â Â Â Â Â Â Winter ClothingÂ Scholarship ProgramÂ Â Â Â Â Â Â Â Â Â Â Â  Adopt a Child Clothing Sponsorship Program (supportingÂ various public and parochial schools - view list online)",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Smyrna State Service Center,(302) 514-4500,5 Burger King Drive,Georgetown,DE,19947,"Clothing ,Emergency Assistance, Community Resource",(302) 514-4500,https://www.sussexpregnancy.com,"Clients can access many services available through DHSS including: Women, Infants, and Children (WIC) program; food stamps; Temporary Assistance for Needy Families (TANF) benefits/employment & training supports, and child care assistance from the Division of Social Services; Long Term Care medical and regular Medicaid assistance, including the State Children's Healthcare Insurance Program (CHIP), and prescription assistance from the Division of Medicaid & Medical Assistance; and from the Division of State Service Centers, assistance with a variety of types of utility bills (e.g., electric, gas, water/sewer),Â  fuel oil help through Low Income Home Energy Assistance Program (LIHEAP), emergency food assistance, and supports from the Adopt-a-Family program .","Clients can access many services available through DHSS including: Women, Infants, and Children (WIC) program; food stamps; Temporary Assistance for Needy Families (TANF) benefits/employment & training supports, and child care assistance from the Division of Social Services; Long Term Care medical and regular Medicaid assistance, including the State Children's Healthcare Insurance Program (CHIP), and prescription assistance from the Division of Medicaid & Medical Assistance; and from the Division of State Service Centers, assistance with a variety of types of utility bills (e.g., electric, gas, water/sewer),Â  fuel oil help through Low Income Home Energy Assistance Program (LIHEAP), emergency food assistance, and supports from the Adopt-a-Family program .",N/A,N/A,
Delaware,"Clothing ,Emergency Assistance, Community Resource","Clothing ,Emergency Assistance, Community Resource",Sussex Pregnancy Care Center,(302) 856-4341,546 South Bedford Street,Georgetown,DE,19947,"Clothing ,Emergency Assistance, Community Resource",(302) 856-4344,https://www.state.de.us/dhss/dssc/gtown.htm,"Provides free pregnancy test with support services including free sonograms for pregnancy verification.  Baby items are offered through the Caring Hearts and Building Foundations for Successful Dads Support Programs, which incorporate education, videos, classes and encouragement as they prepare to be parents.  Schedules of topics discussed for both programs are available upon request.  Parenting and childbirth classes are offered throughout the year, social services approved.  Drama available for and performed by teens regarding relationships and sexual abstinence.  Also offered are ""Keys for Loving Relationships""--marriage preparation classes and money management classes.","Provides free pregnancy test with support services including free sonograms for pregnancy verification.  Baby items are offered through the Caring Hearts and Building Foundations for Successful Dads Support Programs, which incorporate education, videos, classes and encouragement as they prepare to be parents.  Schedules of topics discussed for both programs are available upon request.  Parenting and childbirth classes are offered throughout the year, social services approved.  Drama available for and performed by teens regarding relationships and sexual abstinence.  Also offered are ""Keys for Loving Relationships""--marriage preparation classes and money management classes.",N/A,N/A,
