#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,"Disease/Disability Information, , ","Disease/Disability Information, , "," Genetics/Persons At-Risk, Kern Regional Center",661-327-8531,3200 North Sillect AvenueBakersfield,Bakersfield,CA,93308,"Disease/Disability Information, , ",661-327-8531,http://www.kernrc.org,Persons at-risk of having a child with a developmental disability. Those who may have a genetic basis for their concern. ,Description Provides genetic and prenatal counseling services.,Melbina Mull                                      Program Manager                                   ,mmull@kernrc.org
California,", ",", ", Gentiva Hospice,866-691-9868,5001 East Commercenter Drive,N/A,CA,93309,", ",866-691-9868,http://www.gentiva.com/hospice,"Patients must have life limiting illness such as cancer, heart disease, stroke, end stage alzheimer's, or other condition with a life expectancy of six months or less. Each patient or family must choose hospice care with the understanding that the patient is not being treated for a cure.  ","DescriptionProgram provides admission within 3 hours with a physician's order, expert nursing care, pain and symptom management, coverage of medications, equipment and supplies related to the terminal disease, emotional and spiritual support, volunteer support and comprehensive bereavement care. Referrals taken 24/7.","Marion Beahm, RNExecutive Director",social@kindred.com
California,"Hospice Facilities, , ","Hospice Facilities, , ", Gentiva Hospice,661-324-1232,5001 East Commercenter Drive,N/A,CA,93309,"Hospice Facilities, , ",661-324-1232,http://www.gentiva.com/hospice,"Patients must have life limiting illness such as cancer, heart disease, stroke, end stage alzheimer's, or other condition with a life expectancy of six months or less. Each patient or family must choose hospice care with the understanding that the patient is not being treated for a cure.  ","DescriptionProgram provides admission within 3 hours with a physician's order, expert nursing care, pain and symptom management, coverage of medications, equipment and supplies related to the terminal disease, emotional and spiritual support, volunteer support and comprehensive bereavement care. Referrals taken 24/7.","Marion Beahm, RNExecutive Director",cristina.vasquez@gentival.com
California,"Paratransit Programs, , ","Paratransit Programs, , ", GET- A- LIFT,661-869-2438,1830 Golden State AvenueBakersfield,Bakersfield,CA,93301,"Paratransit Programs, , ",661-869-2438,http://www.getbus.org,"People with disabilities, need to apply and qualify for services ",Description Provides curb-to-curb transportation service within the service area to qualified persons with disabilities.,Karen King                                        Executive Director                                ,N/A
California,", ",", ", Girl Scouts of Central California,800-490-8653,1831 Brundage LaneBakersfield,Bakersfield,CA,93304,", ",800-490-8653,http://www.girlscoutsccs.org,Girls kindergarten to 12th grade ,"DescriptionProvides leadership and life skills training including: increasing self esteem, and making wise choices, financial literacy and entrepreneurial opportunities, activities that focus on science, technology , engineering and math (STEM) as future career choices, living in wellness, healthy choices, physical fitness, obesity prevention, and safety, protecting our environment, sustainability, advocacy, and being model citizens, and respecting others, embracing our heritage, and celebrating diversity.",Cathy Ferguson                                    CEO                                               ,cferguson@girlscouts.ccs.org
California,"Recreational Clubs, , ","Recreational Clubs, , ", Girl Scouts of Central California - South,661-327-1409,1831 Brundage LaneBakersfield,Bakersfield,CA,93304,"Recreational Clubs, , ",661-327-1409,http://www.girlscouts.ccs.org,Girls from kindergarten to 12th grade ,"DescriptionProvides leadership and life skills training including: financial literacy and entrepreneurial opportunities, activities that focus on science, technology , engineering and math (STEM) as future career choices, living in wellness, physical fitness, obesity prevention, and protecting our environment.",N/A,questions@girlscoutsccs.org
California,"Specialty Food Providers, , ","Specialty Food Providers, , ", Gleaners Food Referral Program,661-324-2767,1326 30th Street ,N/A,CA,93301,"Specialty Food Providers, , ",661-324-2767,http://www.goldenempiregleaners.com,Low income individuals.  ,"Description 	Provides food baskets to individuals who received a referral from an affiliated agency such as schools, churches and government agencies.  	 ",Glen A. EphromOperation Director,pfiorini@goldenempiregleaners.com
California,"Brown Bag Food Programs, , ","Brown Bag Food Programs, , ", Gleaners Senior Sack Program,661-324-2767,1326 30th Street,N/A,CA,93301,"Brown Bag Food Programs, , ",661-324-2767,http://www.goldenempiregleaners.com,Seniors 60+ years.  ,"Description 	Provides food sacks to designated senior sack site twice each month to registered seniors.	 	 ",Pam LindamanOperation Director,N/A
California,"Food Pantries, Food Sorting/Packing Volunteer Opportunities, , ","Food Pantries, Food Sorting/Packing Volunteer Opportunities, , ", Gleaners Volunteer for Food Program,661-324-2767,1326 30th Street,N/A,CA,93301,"Food Pantries, Food Sorting/Packing Volunteer Opportunities, , ",661-324-2767,http://www.goldenempiregleaners.com,"Open to the public.  ","Description 	Provides a food box in exchange for 1-week of work at the Gleaners food bank. Daily lunch is provided for volunteers.	 ",N/A,info@goldenempiregleaners.com
California,"Food Pantries, , ","Food Pantries, , ", God's Enduring Touch of Grace,N/A,10031 58th Street WestMojave,Mojave,CA,93501,"Food Pantries, , ",N/A,http://godsenduringtouchofgraceministries.org/,Low income families or individuals in need of food. ,DescriptionProgram offers a food pantry.,N/A,N/A
California,", ",", ", God's Enduring Touch of Grace,N/A,2000 Orange Street Rosamond,Rosamond,CA,93560,", ",N/A,http://godsenduringtouchofgraceministries.org/,Open to the public.  ,"Description 	Program offers a emergency food boxes twice a month.  	 ",Robert Harrison                                   Contact Person                                    661-433-2654,godsenduringtouchofgracemin@gmail.com
California,", ",", ", God's Storehouse,N/A,16475  Highway 178Weldon,178Weldon,CA,93283,", ",N/A,N/A,Open to the public.  ,"Description 	God's Storehouse offers assistance with emergency food, bread and clothing.   	 ",Jackie Cole                                       Director                                          ,colesacres@gs.com
California,", ",", ", Golden Empire Gleaners ,N/A,1326 30th Street,N/A,CA,93301,", ",N/A,http://www.goldenempiregleaners.com,Low-income and seniors 60+ years. ,"Description 	Agency offers food assistance to individuals in need by providing the following programs: Senior Sack Program, Volunteer for Food Program and Food Referral Program.	 ",N/A,info@goldenempiregleaners.com
California,", ",", ", Golden Empire Transit District,661-869-2438,1830 Golden State AvenueBakersfield,Bakersfield,CA,93301,", ",661-869-2438,http://www.getbus.org,Open to the general public ,DescriptionProvides public transit services and curbside service to those with disabilities.,Karen King                             Chief Executive Officer                         ,jsmith@getbus.org
California,"Local Bus Services, , ","Local Bus Services, , ", Golden Empire Transit District,661-324-9874,1830 Golden State AvenueBakersfield,Bakersfield,CA,93301,"Local Bus Services, , ",661-324-9874,http://www.getbus.org,Open to the public ,DescriptionProvides public transit services and curbside service to those with disabilities. Also offers free rides in unhealthy air days when the air quality exceeds 150 Air Quality Index (AQI). ,Karen King                                  Chief Executive Officer                     ,jsmith@getbus.org
California,"Food Pantries, Post Disaster Food Services, , ","Food Pantries, Post Disaster Food Services, , ", Golden Valleys Truth Tabernacle,N/A,214 Hosking Avenue Bakersfield,Bakersfield,CA,93307,"Food Pantries, Post Disaster Food Services, , ",N/A,http://www.capk.org/,Open to the public. ,DescriptionProvides a food distribution site.,N/A,info@capk.org
California,"Older Adult/Disability Related Supportive Housing, , ","Older Adult/Disability Related Supportive Housing, , ", Good Shepard Lutheran,559-791-2000,119 North Main StreetPorterville,Porterville,CA,93257,"Older Adult/Disability Related Supportive Housing, , ",559-791-2000,http://www.gsls-simi.com,"Developmentally disabled, referred by Kern Regional Center ","Description Provides supported living and independent living services, group homes for developmentally disabled, day programs, and integration services.  ",Cheri Taylor                                      Director             ,N/A
California,"Older Adult/Disability Related Supportive Housing, , ","Older Adult/Disability Related Supportive Housing, , ", Good Shepard Lutheran,N/A,119 North Main StreetPorterville,Porterville,CA,93257,"Older Adult/Disability Related Supportive Housing, , ",N/A,http://www.gsls-simi.com,Developmentally disabled adults and a referred by Kern Regional or Central Valley Regional Center ,"DescriptionProvides supported living and independent living services, group homes for developmentally disabled, day programs, and integration services.",Marilyn Pfening                                   CEO                                               ,N/A
California,"Food Pantries, , ","Food Pantries, , ", Goodness and Mercy Ministries,N/A,1111 California AvenueBakersfield,Bakersfield,CA,93304,"Food Pantries, , ",N/A,http://www.capk.org,Open to the public ,DescriptionProvides a food distribution once a month.,N/A,info@capk.org
California,"Comprehensive Disability Related Employment Programs, Career Development Volunteer Opportunities, , ","Comprehensive Disability Related Employment Programs, Career Development Volunteer Opportunities, , ", Goodwill Extended Employment Program,661-837-0598,4901 Stine RoadBakersfield,Bakersfield,CA,93313,"Comprehensive Disability Related Employment Programs, Career Development Volunteer Opportunities, , ",661-837-0598,http://www.goodwill.org/,"16 years of age and older, have a certifiable disability or vocational disadvantage. ",Description Provides work opportunities and skills development to people with social or economic barriers to employment.  ,Cheryl Chalupa                                    President                                        ,N/A
California,", ",", ", Goodwill Industries Of South Central California,661-399-1039,4901 Stine RoadBakersfield,Bakersfield,CA,93313,", ",661-399-1039,http://www.goodwill.org/,"16 years of age and older, have a certifiable disability or vocational disadvantage ",DescriptionProvides work opportunities and skills development to people with social or economic barriers to employment.,Cheryl Chalupa                                    President                                         ,schalupa@giscc.org
California,"Clothing Donation Programs, Household Goods Donation Programs, , ","Clothing Donation Programs, Household Goods Donation Programs, , ", Goodwill Warehouse Industries,N/A,4901 Stine RoadBakersfield,Bakersfield,CA,93313,"Clothing Donation Programs, Household Goods Donation Programs, , ",N/A,http://www.goodwill.org/,Open to the public  ,DescriptionProvides a main distribution site and a donation drop off zone for other Goodwill stores.,Francis Valenzuela                            Salvage Coordinator,N/A
California,"Low Income/Subsidized Rental Housing, , ","Low Income/Subsidized Rental Housing, , ", Govea Garden Apartments,661-864-1108,1054 Washington StreetBakersfield,Bakersfield,CA,93307,"Low Income/Subsidized Rental Housing, , ",661-864-1108,https://affordablehousingonline.com/housing-search/California/Bakersfield/Govea-Gardens/10025348,Must meet income eligibility requirements. ,"Description	Provides low income apartments with 2, 3 and 4 bedroom units available. 	 ",Lupita Serna                                      Property Manager                                  ,communidadapts@sbcglobal.net
California,", ",", ", Govea Garden Apartments,N/A,1054 Washington StreetBakersfield,Bakersfield,CA,93307,", ",N/A,N/A,Must meet income eligibility requirements.  ,"Description 	Low income apartments with 2, 3 and 4 bedroom units available.   	 ",Lupita Serna                                      Administrator                                     ,communidadapts@sbcglobal.net
California,"Graffiti Reporting, Graffiti Removal Volunteer Opportunities, Residential Graffiti Removal, , ","Graffiti Reporting, Graffiti Removal Volunteer Opportunities, Residential Graffiti Removal, , ", Graffiti Hotline,661-323-7273,1600 Truxtun AvenueBakersfield,Bakersfield,CA,93301,"Graffiti Reporting, Graffiti Removal Volunteer Opportunities, Residential Graffiti Removal, , ",661-323-7273,http://www.bakersfieldgraffiti.us,Individuals seeking assistance with graffiti removal. ,"Description	 Offers assistance with filing a graffiti removal work order.  	 ",Jesse Ayala                                      Supervisor                                        ,graffiti@bakersfieldcity.us
California,"Group Advocacy, Affordable Care Act Insurance Information/Counseling, Legal Department Offices, , ","Group Advocacy, Affordable Care Act Insurance Information/Counseling, Legal Department Offices, , ", Greater Bakersfield Legal Assistance,661-325-5943,615 California AvenueBakersfield,Bakersfield,CA,93304,"Group Advocacy, Affordable Care Act Insurance Information/Counseling, Legal Department Offices, , ",661-325-5943,http://www.gbla.org,"Low-income (per federal guidelines), 60 years and older, migrant farm workers, agricultural workers. ","DescriptionServices and programs include: Community Homeless Law Center Project, Domestic Violence Project, Kern Health Consumer Center, Grandparent Guardianship Project, Housing Program, Kern County Long Term Care Ombudsman Program, Senior Law Center. Also provides assistance with Health and Public benefits information.*Does not assist with divorce, criminal law or custody issues*",Estela Casas                                      Executive Director                                ,ecasas@gbla.org
California,", ",", "," Greater Bakersfield Legal Assistance, Inc.",N/A,615 California AvenueBakersfield,Bakersfield,CA,93304,", ",N/A,http://www.gbla.org,"Individuals must reside in Kern County, meet income and asset guidelines, and present a legal problem within the GBLA core areas of practice. ",DescriptionProvides legal assistance for civil litigation. ,Estela Casas                                      Executive Director                                ,nmashayekhi@gbla.org
California,"Holiday Programs, , ","Holiday Programs, , ", Greater Harvest Christian Center,N/A,5421 Aldrin CourtBakersfield,Bakersfield,CA,93313,"Holiday Programs, , ",N/A,N/A,"Open to all. One turkey per household, first come first served. ",DescriptionProviding a free turkey giveaway.,,N/A
California,"Homeless Permanent Supportive Housing, Adult Residential Treatment Facilities, , ","Homeless Permanent Supportive Housing, Adult Residential Treatment Facilities, , ", Green Gardens,661-397-2024,2300 South Union AvenueBakersfield,Bakersfield,CA,93307,"Homeless Permanent Supportive Housing, Adult Residential Treatment Facilities, , ",661-397-2024,http://kernha.org/wp/affordable-housing/find-housing/housing-for-the-homeless/,"Clients must be clean and sober for three months prior to admission, must be involved with mental health treatment, able to take their own medications and able to live independently.**Must be referred by Kern Behavioral Health and Recovery Services** ","DescriptionProvides affordable and long term housing in conjunction with supportive services. Supportive services include social, recreational and educational activities. On site case management is available for mental health groups including, substance abuse groups, relapse prevention, anger management and grief and loss counseling.Client must be referred to the Housing Authority from Kern Behavioral Health and Recovery Services to be eligible.",Sheronda MathewsManager,N/A
California,"Congregate Meals/Nutrition Sites, , ","Congregate Meals/Nutrition Sites, , ", Greenacres Senior Nutrition Site - Bakersfield,N/A,2014 Calloway DriveBakersfield,Bakersfield,CA,93312,"Congregate Meals/Nutrition Sites, , ",N/A,http://www.co.kern.ca.us/aas/nutritionmenu.aspx#.WBzYc8l5LkE,Seniors 60 years and older ,DescriptionProvides daily noon meals and social activities for older adults.,N/A,nutritioninfo@kerncounty.com
California,"Community Clinics, , ","Community Clinics, , ", Greenfield Community Health Center,661-328-4260,9001 South H StreetBakersfield,Bakersfield,CA,93307,"Community Clinics, , ",661-328-4260,https://www.clinicasierravista.org/,Open to the public.  ,"DescriptionPrimary Care; WIC; Maternal Child Outreach Program; Chronic Disease Management; Clinical Lab; Cancer Detection Program; Family Planning, Access, Care and Treatment Program; Dental ",Bill Phelps-RamosCheif of Programs       (661) 635-3050,N/A
California,"Senior Centers, , ","Senior Centers, , ", Greenfield Senior Center,N/A,1751 Mckee RoadBakersfield,Bakersfield,CA,93307,"Senior Centers, , ",N/A,http://www.co.kern.ca.us,Seniors 60 years and older. ,"Description 	Provides seniors with daily nutritional programs and provides a congregational setting with social activities such as bingo and dominos for seniors. 	 ",N/A,nutritioninfo@kerncounty.com
California,", ",", ", Greenfield Senior Center,N/A,1751 Mckee RoadBakersfield,Bakersfield,CA,93307,", ",N/A,https://greenfield-senior-center.hub.biz/?fbclid=IwAR1UFg-xZjbF_JxSycZjpPYpQT6ed84MoauxzPEqnV_hqKG9eq90F0c7IuE,Senior citizens age 60 and over. ,"Description 	Provides seniors with daily nutritional programs and provides a congregational setting with social activities such as bingo and dominos for seniors.  	 ",Kristian BesnardProgram Coordinator-Nutrition661-868-1100,nutritioninfo@kerncounty.com
California,", ",", ", 211.ORG,N/A,N/A,N/A,N/A,N/A,", ",N/A,http://www.211.org,DescriptionWebsite allows one to find any 2-1-1 call center in the USA or Canada.,DescriptionWebsite allows one to find any 2-1-1 call center in the USA or Canada.,,N/A
California,"Directory Assistance, , ","Directory Assistance, , ", 411 Directory Assistance,411,National service,N/A,CA,N/A,"Directory Assistance, , ",411,https://www.411.com/,Open to all ,"Description	 Provides directory assistance.",,N/A
California,", ",", ", 411 Directory Assistance,N/A,No physical addressBakersfield,Bakersfield,CA,N/A,", ",N/A,N/A,Open to all ,"Description	Provides  fee base directory assistance.",Alex AlgardCEO/Founder,help@listYourself.net
California,"Transportation Information Clearinghouses/511 Services, Emergency Road Service, Road Closures Bulletins, , ","Transportation Information Clearinghouses/511 Services, Emergency Road Service, Road Closures Bulletins, , ", 511 Traveler Information System,511,1401 19th Street ,N/A,CA,93301,"Transportation Information Clearinghouses/511 Services, Emergency Road Service, Road Closures Bulletins, , ",511,http://www.kerncog.org,For Motorists  ,"Description Provides real-time traffic conditions, including traffic accidents, construction information, travel times and transit information.",Becky NapierRegional Planner III661-635-2910,N/A
California,", ",", ", A Helping Hand,N/A,4100 Easton Drive,N/A,CA,93309,", ",N/A,http://www.ahelpinghandtyping.com,Open to all   ,"DescriptionProvides legal typing services: Abandonment/Termination of Parental Rights, adoption, annulment, child custody/visitation, Child Support, divorce/dissolution, filing fees/fee waiver, guardianship, legal separation, marital settlement agreement, modifications, name changes, notary public, paternity actions/cases, restraining orders, spousal support, and wage assignment.",,stacy.ahelpinghand@gmail.com
California,"Comprehensive Family Law Services, , ","Comprehensive Family Law Services, , ", A Helping Hand,661-932-4325,N/A,N/A,N/A,N/A,"Comprehensive Family Law Services, , ",661-932-4325,http://www.ahelpinghandtyping.com,Open to all  ,"Description	Provides legal typing services: Abandonment/Termination of Parental Rights, adoption, annulment, child custody/visitation, Child Support, divorce/dissolution, filing fees/fee waiver, guardianship, legal separation, marital settlement agreement, modifications, name changes, notary public, paternity actions/cases, restraining orders, spousal support, and wage assignment.",N/A,stacy.ahelpinghand@gmail.com
California,"Postsecondary Opportunities for People With Disabilities, , ","Postsecondary Opportunities for People With Disabilities, , ", Access Now,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Postsecondary Opportunities for People With Disabilities, , ",661-834-2272,http://www.barc-inc.org,Developmentally disabled adults  ,"Description	Provides ongoing, vocational and non-vocational training, taught in a small group.	 ",Jim Baldwin                                       President/ CEO,N/A
California,", ",", ", Action Family Counseling,661-297-9703 ,26893 Bouquet Canyon,Canyon,CA,91350,", ",661-297-9703 ,http://www.actionfamilycounseling.com/,Adult Females and Adult Males Children Adults Children Females Males,"Description	 	Provides a multi-disciplinary approach to address all aspects of individuals’ mental health and well-being.	 ",Kirsten QuashenBusiness Owner(661) 297-3138,intake@actionfamily.org
California,"Mental Health Drop In Centers, Comprehensive Outpatient Substance Use Disorder Treatment, , ","Mental Health Drop In Centers, Comprehensive Outpatient Substance Use Disorder Treatment, , ", Action Family Counseling,661-325-4357,N/A,N/A,N/A,N/A,"Mental Health Drop In Centers, Comprehensive Outpatient Substance Use Disorder Treatment, , ",661-325-4357,http://www.actionfamily.org,Individuals with drug and alcohol dependency  ,"Description	 Provides a multi-disciplinary approach, intensive outpatient program, residential treatment program, and sober living. ",Scott Huhn                                        Director                                          ,corporate_action@yahoo.com
California,", ",", ", ADULT CHILDREN OF ALCOHOLICS (ACA),N/A,Confidential LocationTorrance,Torrance,CA,90510,", ",N/A,http://www.adultchildren.org,"Description Nonprofit organization of anonymous support groups that help people who were raised in a home where alcoholism was present, or for those individuals coming from a dysfunctional family. This is a web-based service where people can search for the closest support groups in their local areas.","Description Nonprofit organization of anonymous support groups that help people who were raised in a home where alcoholism was present, or for those individuals coming from a dysfunctional family. This is a web-based service where people can search for the closest support groups in their local areas.",,info@adultchildren.org
California,"Hospice Facilities, Bereavement Support Groups, , ","Hospice Facilities, Bereavement Support Groups, , ", Adult Group Bakersfield Optimal Hospice,661-410-4000,1315 Boughton DriveBakersfield,Bakersfield,CA,93308,"Hospice Facilities, Bereavement Support Groups, , ",661-410-4000,http://www.optimalcares.com,Open to the public. ,"Description	Provides support groups for individuals who have experienced the loss of a loved one. Also provides one-on-one counseling and support groups for children who are currently in the process of anticipatory grief.	Provides Spanish support groups with an alternate location.",Pat Roberts                                       Supervisor                                        ,N/A
California,"Adult Protective Services, , ","Adult Protective Services, , ", Adult Protective Services,800-277-7866 ,5357 Truxtun AvenueBakersfield,Bakersfield,CA,93309,"Adult Protective Services, , ",800-277-7866 ,http://www.co.kern.ca.us/aas,65 years or older ,"Description	Provides investigation of suspected neglect and abuse of elderly and/or dependent adults. Also provides case management, emergency shelter, and in-home care protection,.	 ",N/A,apsinfo@kerncounty.com
California,", ",", ", Advanced Institute of Pest Technology,800-287-2478,2004 Mineral CtBakersfield,tBakersfield,CA,93309,", ",800-287-2478,http://www.aipttoday.com,Open to all ,"Description	Prepares individuals for a career in structural or agricultural pest control. Provides practical training for future employment and offers continuing education classes for a life long learning to professionals working in pest control.","David Oxley                                       Owner,Operator,Instructor                       ",careers@aipttoday.com
California,"Drug Detoxification, Substance Use Disorder Counseling, , ","Drug Detoxification, Substance Use Disorder Counseling, , ", Aegis Medical Systems-Delano,661-721-0463,1019 Jefferson StreetDelano,Delano,CA,93215,"Drug Detoxification, Substance Use Disorder Counseling, , ",661-721-0463,http://www.aegismed.com,Substance abuse ,"Description	Provides a substance abuse out-patient program, counseling services, and medical care. 	 ",N/A,delano@aegistreatmentcenters.com
California,"Crisis Intervention Hotlines/Helplines, , ","Crisis Intervention Hotlines/Helplines, , ", After Hours On Call Hotline,800-991-5272,2001 28th StreetBakersfield,Bakersfield,CA,93301,"Crisis Intervention Hotlines/Helplines, , ",800-991-5272,http://www.kernmentalhealth.org/,Open to the public  ,Description   Assists with crisis calls and provides intervention for those in need of immediate assistance.  ,Bill WalkerCrisis Service Administrator661-868-8155,tbahena@kernbhrs.org
California,"Health/Disability Related Support Groups, Information and Referral, Health Conditions, Physical Disabilities, , ","Health/Disability Related Support Groups, Information and Referral, Health Conditions, Physical Disabilities, , ", AgrAbility ,530-752-1613,1 Shields Avenue ,N/A,CA,95616,"Health/Disability Related Support Groups, Information and Referral, Health Conditions, Physical Disabilities, , ",530-752-1613,http://calagrability.ucdavis.edu,"Farmers, farm workers, and ranchers with disabilities or health conditions who are curently working in agriculture or are planning on beginning in an agricultural career. Individuals meeting eligibility outside of the state of California can be referred to CalAgribility program and be connected to their state AgrAbility program.  ","DescriptionProvides bilingual education (English and Spanish). Also provides information and referral: such as low-cost modifications for  farms, home, equipment, work site operations, and peer support.",N/A,calagra@ucdavis.edu
California,", ",", ", Alba Counseling Center,661-725-2995,1603 California Avenue ,N/A,CA,93301,", ",661-725-2995,https://www.superpages.com/bp/bakersfield-ca/alba-counseling-center-inc-L0125910340.htm,Individual in need of counseling services ,"Description	Provides the following counseling:domestic violence and anger management.	Also provides parenting classes and child neglect programs.",N/A,N/A
California,", ",", ", Alcoholic Anonymous and Narcotic Anonymous - Taft,N/A,207 E StreetTaft,Taft,CA,93268,", ",N/A,http://kcna.org,Open to the public. ,"Description	Provides A.A meetings for the residents in the city of Taft. Members take part in meetings by talking about their experiences and recovery from drug addiction.  	 ",,mikebkernna@yahoo.com
California,"Addictions/Substance Use Disorder Support Groups, Alcohol Use Disorder Education/Prevention, , ","Addictions/Substance Use Disorder Support Groups, Alcohol Use Disorder Education/Prevention, , ", Alcoholic Anonymous and Narcotic Anonymous - Taft,1-877-629-6759,207 E StreetTaft,Taft,CA,93268,"Addictions/Substance Use Disorder Support Groups, Alcohol Use Disorder Education/Prevention, , ",1-877-629-6759,http://www.kcna.org,"Addicts OnlyNo Children ",DescriptionMembers take part in meetings by talking about their experiences and recovery from drug addiction.,N/A,mikebkernna@yahoo.com
California,", ",", ", Alcoholics Anonymous ,N/A,925 17th StreetBakersfield,Bakersfield,CA,93301,", ",N/A,http://www.kernaa.org,Persons with a desire to stop drinking.   ,"Description	Provides information and assistance to persons with alcohol-related problems.	 ",Rick Klemans                                      Office Manager                                    ,N/A
California,", ",", ", Alcoholics Anonymous,N/A,43619 17th Street West,N/A,CA,93534,", ",N/A,http://www.avcentraloffice.org,Open to all ,"Description	Provides meetings for those with drinking problems, guidance, and support for those who wish to stop drinking.	 ",Wane Ecklund                                      Office Manager                                    ,avaa@roadrunner.com
California,"Addictions/Substance Use Disorder Support Groups, LGBTQ Issues, , ","Addictions/Substance Use Disorder Support Groups, LGBTQ Issues, , ", Alcoholics Anonymous Gay and Lesbian Group,661-322-4025,1001 34th Street,N/A,CA,93301,"Addictions/Substance Use Disorder Support Groups, LGBTQ Issues, , ",661-322-4025,http://www.kernaa.org,Open to the public  ,"Description	Provides a 12-Step recovery group for gay and lesbians in recovery from alcoholism or other drugs.",Rick Klemans                                      Office Manager                                    ,aacentralofficebakersfield@yahoo.com
California,", ",", ", ALISA ANN RUCH BURN FOUNDATION (AARBF),888-492-2876,50 North Hill Avenue,N/A,CA,91106,", ",888-492-2876,http://www.aarbf.org,"Description	Non-profit foundation dedicated to supporting health care providers, firefighters, emergency workers, burn survivors and others to enhance the quality of life for burn survivors and to make burn injuries a thing of the past.","Description	Non-profit foundation dedicated to supporting health care providers, firefighters, emergency workers, burn survivors and others to enhance the quality of life for burn survivors and to make burn injuries a thing of the past.",,info@aarbf.org
California,"Oral/Maxillofacial Surgery, Children, Pediatric Dentistry, , ","Oral/Maxillofacial Surgery, Children, Pediatric Dentistry, , ", All Kids Dental Surgery Center,661-325-5437,2525 Eye Street ,N/A,CA,93301,"Oral/Maxillofacial Surgery, Children, Pediatric Dentistry, , ",661-325-5437,http://www.allkidsdsc.com,Open to the public ,"Description	Provides pediatric surgery and general dentistry.",N/A,allkids5437@gmail.com
California,", ",", ", All Smiles Family Dentistry,N/A,2200 Chester AvenueBakersfield,Bakersfield,CA,93301,", ",N/A,http://www.landmarkdentaldowntown.com,Open to all ,"Description	Provides dental care for children and adults.",Dr.Postgate/ Dr.Jue/ Dr.ModiDDS,info@landmarkdentaldowntown.com
California,"Preschools, , ","Preschools, , ", Greenfield State Preschool,661-827-0834,5400 Monitor StreetBakersfield,Bakersfield,CA,93307,"Preschools, , ",661-827-0834,https://kern.org/early-childhood-education/,Children 3-5 years old. ,"Description 	Program provides preschool education intended to stimulate intellectual, social, emotional and motor skills development to prepare child for kindergarden.  	 ",N/A,mimarquez@kern.org
California,", ",", ", Greenfield Union School District,N/A,1624 Fairview RoadBakersfield,Bakersfield,CA,93307,", ",N/A,http://www.gfusd.k12.ca.us,Students within the Greenfield jurisdiction. ,"Description	Operates schools and programs within the Greenfield jurisdiction.   	 ",Chris Crawford                                    Superintendent                                    ,bognerk@gfusd.k12.ca.us
California,", ",", ", Greyhound Bus Lines,N/A,1820 18th StreetBakersfield,Bakersfield,CA,93301,", ",N/A,http://www.greyhound.com/home/,Open to the public.  ,"Description 	Program provides intercity bus transportation across North America. 	 ",Dave Leach                                        President & Chief Executive Officer               ,ADA.support@greyhound.com
California,"Long Distance Bus Services, , ","Long Distance Bus Services, , ", Greyhound Bus Lines,661-327-5617,1820 18th StreetBakersfield,Bakersfield,CA,93301,"Long Distance Bus Services, , ",661-327-5617,http://www.greyhound.com/home/,Open to the public ,"Description 	Program provides intercity bus transportation across North America. 	 ",N/A,ifsr@greyhound.com
California,"Long Distance Bus Services, , ","Long Distance Bus Services, , ", Greyhound Bus Lines,661-725-2217,1112 High StreetDelano,Delano,CA,93215,"Long Distance Bus Services, , ",661-725-2217,http://www.greyhound.com/home/,Open to the public ,"Description 	Program provides intercity bus transportation across North America.	 ",N/A,ADA.support@greyhound.com
California,"Hospice Facilities, Bereavement Support Groups, , ","Hospice Facilities, Bereavement Support Groups, , "," Grief Support Group, Tehachapi",N/A,500 East F StreetTehachapi,Tehachapi,CA,93561,"Hospice Facilities, Bereavement Support Groups, , ",N/A,http://www.optimalcares.com,Individuals and families who have experienced the loss of a loved one or are in the process of anticipatory grief. ,"Description	Provides support groups for those who have experienced the loss of a loved one or are currently in the process of anticipatory grief.	 ",Pat Roberts                                       Supervisor                                        ,N/A
California,"Emergency Food, Food Pantries, Food Gleaning Programs, Clothing, Personal/Grooming Needs, , ","Emergency Food, Food Pantries, Food Gleaning Programs, Clothing, Personal/Grooming Needs, , ", Griffith Avenue Baptist Church ,N/A,408 Griffith AvenueWasco,Wasco,CA,93280,"Emergency Food, Food Pantries, Food Gleaning Programs, Clothing, Personal/Grooming Needs, , ",N/A,http://gabcministries.com/,Residents of Wasco who are homeless and/or in need. ,"DescriptionProvides a food pantry, washer and dryer, clothing, and showers for homeless. Please see below for time frames.",Kevin WhiteSenior Pastor 661-758-2516,gabc@att.net
